open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755205200000,117866.16,117887.07,117832.09,117887.07,5.83244,1755205259999,687398.9356183,1953,3.4221,403321.8915048,0
1755205260000,117887.07,117912.76,117887.07,117901.99,2.10616,1755205319999,248328.480905,961,1.67993,198071.8192311,0
1755205320000,117901.98,117929.6,117884.54,117917.8,9.88862,1755205379999,1165891.9669099,1234,7.52507,887219.4006536,0
1755205380000,117917.81,117941.96,117899.74,117941.95,3.65191,1755205439999,430606.3484605,992,1.49808,176648.9506479,0
1755205440000,117941.95,117955.9,117916.79,117916.8,5.97557,1755205499999,704777.2667649,1333,5.00386,590174.8315841,0
1755205500000,117916.8,117949.69,117891.98,117938.57,4.93269,1755205559999,581626.8445667,1648,3.47463,409690.303578,0
1755205560000,117938.57,117956.37,117938.56,117956.37,1.98824,1755205619999,234511.6710006,506,1.13734,134144.3437722,0
1755205620000,117956.37,117976.96,117944.56,117972.23,3.36212,1755205679999,396589.5995658,706,1.22689,144723.8131555,0
1755205680000,117972.24,118080.0,117972.23,118079.99,11.38864,1755205739999,1344028.6508009,1067,10.87084,1282902.6831883,0
1755205740000,118079.99,118121.07,118070.54,118121.07,5.14553,1755205799999,607617.839753,1181,3.95193,466673.8331957,0
1755205800000,118121.07,118145.42,118121.07,118132.06,3.1619,1755205859999,373530.6186124,889,1.58972,187794.2389957,0
1755205860000,118132.06,118196.02,118132.05,118196.02,12.62363,1755205919999,1491706.2765757,1572,11.10008,1311674.1267182,0
1755205920000,118196.11,118199.99,118159.95,118159.96,8.21603,1755205979999,971040.9837717,974,4.64247,548688.6659206,0
1755205980000,118159.95,118190.99,118159.95,118181.81,3.01342,1755206039999,356116.583903,642,2.48184,293298.624983,0
1755206040000,118181.8,118181.8,118128.65,118148.21,6.26337,1755206099999,740040.6836021,930,2.88585,340971.2994086,0
1755206100000,118148.22,118148.22,118109.23,118130.99,2.4854,1755206159999,293592.5108177,744,1.0838,128019.7703789,0
1755206160000,118131.0,118131.0,118097.75,118097.76,1.9388,1755206219999,229014.0916031,312,0.72723,85903.8514467,0
1755206220000,118097.76,118126.06,118097.75,118115.73,2.53669,1755206279999,299607.3027706,770,1.7821,210475.7122113,0
1755206280000,118115.73,118138.72,118085.33,118127.21,2.53604,1755206339999,299536.4024713,1233,1.13207,133705.9505606,0
1755206340000,118127.2,118148.07,118127.2,118148.06,1.70841,1755206399999,201825.9945743,631,1.37552,162499.7125115,0
1755206400000,118148.07,118170.48,118148.06,118148.4,9.24156,1755206459999,1091991.0400194,737,8.69998,1027996.1508072,0
1755206460000,118148.07,118152.21,118085.85,118085.85,12.67256,1755206519999,1497056.7810693,865,0.57767,68237.9544085,0
