open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755205200000,4534.0,4534.0,4519.63,4524.75,604.3962,1755205259999,2734234.472209,4524,254.3137,1150293.997899,0
1755205260000,4524.75,4527.15,4522.35,4522.98,249.7615,1755205319999,1130275.58204,2848,139.1275,629629.289759,0
1755205320000,4522.99,4524.99,4521.07,4521.18,270.0829,1755205379999,1221507.028629,2416,56.8044,256921.391104,0
1755205380000,4521.17,4521.45,4516.75,4520.04,208.0297,1755205439999,940133.635008,3162,89.2069,403145.856108,0
1755205440000,4520.04,4521.86,4518.01,4518.02,98.3462,1755205499999,444568.824374,1596,51.0092,230598.519814,0
1755205500000,4518.02,4519.73,4516.05,4519.41,103.8419,1755205559999,469175.455156,2226,46.3565,209445.777213,0
1755205560000,4519.4,4520.0,4515.16,4517.48,264.7812,1755205619999,1195982.914232,2255,80.2579,362496.290522,0
1755205620000,4517.48,4527.87,4517.48,4527.75,511.8769,1755205679999,2314676.377744,2896,452.7295,2047184.612745,0
1755205680000,4527.74,4534.5,4527.71,4534.5,284.1769,1755205739999,1287659.561356,1897,182.9852,829189.442605,0
1755205740000,4534.49,4534.49,4528.69,4531.3,495.396,1755205799999,2244150.655007,2888,267.998,1213856.976701,0
1755205800000,4531.31,4537.73,4531.31,4537.73,362.4492,1755205859999,1643665.091542,3072,173.4462,786502.264582,0
1755205860000,4537.75,4544.0,4537.74,4544.0,289.9694,1755205919999,1316644.390982,3092,167.4838,760421.167593,0
1755205920000,4543.99,4544.06,4540.42,4541.53,306.0867,1755205979999,1390316.369433,2028,110.6135,502394.910975,0
1755205980000,4541.53,4542.29,4539.89,4540.65,198.9184,1755206039999,903284.775593,1513,57.3504,260416.975655,0
1755206040000,4540.65,4541.19,4536.61,4538.2,155.5706,1755206099999,706124.798145,1798,54.3204,246581.934022,0
1755206100000,4538.2,4539.91,4536.5,4538.86,202.4117,1755206159999,918561.021869,3471,112.2481,509380.198128,0
1755206160000,4538.86,4539.99,4536.08,4536.09,134.0013,1755206219999,608172.29116,1545,24.0834,109314.332117,0
1755206220000,4536.09,4538.49,4535.13,4535.13,214.9677,1755206279999,975338.877273,2583,120.599,547175.750526,0
1755206280000,4535.13,4535.13,4527.19,4528.99,514.8687,1755206339999,2332399.443518,3570,181.3591,821521.27558,0
1755206340000,4529.0,4530.16,4524.75,4527.32,108.4602,1755206399999,491060.122047,2815,36.9124,167114.663231,0
1755206400000,4527.33,4527.5,4521.86,4521.86,69.0166,1755206459999,312270.618343,1753,10.8159,48939.271405,0
1755206460000,4521.86,4524.55,4521.55,4521.96,116.5252,1755206519999,527006.600879,1402,42.9175,194094.788092,0
1755206520000,4521.95,4525.0,4520.52,4523.87,82.9522,1755206579999,375181.804062,1797,41.8808,189432.43885,0
